Embalse;Agua embalsada (01-04-2019) (HM3);Porcentaje Agua embalsada (01-04-2019) ;Variacion semana Anterior (HM3);Porcentaje Variacion semana Anterior ;Capacidad (HM3);Agua embalsada Misma Semana (2018) (HM3);Porcentaje Agua embalsada Misma Semana (2018) ;Agua embalsada Misma Semana (Med. 10 Años) (HM3);Porcentaje Agua embalsada Misma Semana (Med. 10 Años) ;Cuenca;Provincia;Municipio Presa;Rio;Tipo de Presa;Año de construccion (Final);Superficie;Abastecimiento;Riego;Electricidad;Industrial;Pesca;Navegación;Baño;Pic-nic;Restaurantes;
SICHAR;25;51.02;-1;-2.04;49;10;20.41;38;79.18;Júcar;Castellon;ONDA;MIJARES;Gravedad;1960;317.00 ;1;1;1;0;1;1;0;1;0;
TOUS - LA RIBERA;128;33.77;-2;-0.53;379;135;35.62;169;44.75;Júcar;Valencia;TOUS;JUCAR;Materiales sueltos núcleo arcilla;1996;1,062.00 ;1;1;0;0;1;1;1;0;1;
ULLDECONA;8;72.73;0;0.00;11;0;0.00;6;56.36;Júcar;Castellon;POBLA DE BENIFASSA, LA;CENIA;Gravedad;1967;817.00 ;1;1;0;0;1;1;1;1;1;
ALBARELLOS;39;42.86;1;1.10;91;33;36.26;39;42.97;Miño-Sil;Orense;LEIRO Y BOBORAS;AVIA;Bóveda;1971;336.00 ;0;0;1;0;1;0;0;0;0;
BAO;166;69.75;-9;-3.78;238;171;71.85;189;79.62;Miño-Sil;Orense;BOLO, O;BIBEY;Gravedad;1960;820.00 ;0;1;1;0;1;0;0;0;0;
BARCENA;222;65.10;17;4.99;341;301;88.27;271;79.59;Miño-Sil;Leon;PONFERRADA;SIL;Gravedad;1960;986.00 ;1;1;1;1;1;1;1;1;1;
BELESAR;398;60.76;-26;-3.97;655;603;92.06;468;71.59;Miño-Sil;Lugo;CHANTADA;MIÑO;Bóveda;1963;1,910.00 ;0;0;1;0;1;1;1;1;1;
CASTRELO;51;85.00;2;3.33;60;52;86.67;52;87.17;Miño-Sil;Orense;RIBADAVIA;MIÑO;Gravedad;1969;790.00 ;1;0;1;0;1;1;0;1;0;
CENZA;28;70.00;0;0.00;40;38;95.00;31;78.25;Miño-Sil;Orense;VILARIÑO DE CONSO;CENZA;Hormigón Compactado;1993;244.00 ;0;0;1;0;1;0;0;0;0;
CHANDREJA;28;45.90;-3;-4.92;61;59;96.72;48;78.69;Miño-Sil;Orense;CHANDREXA DE QUEIXA;NAVEA;Contrafuertes;1953;245.00 ;0;0;1;0;1;0;1;0;1;
EDRADA;5;35.71;-1;-7.14;14;13;92.86;9;65.71;Miño-Sil;Orense;PARADA DE SIL;EDRADA;Gravedad;1978;105.00 ;0;0;0;0;1;0;0;0;0;
FRIEIRA;37;84.09;0;0.00;44;40;90.91;40;91.14;Miño-Sil;Pontevedra;CRECIENTE/PADENDRA;MIÑO;Gravedad;1970;466.00 ;1;0;1;0;0;0;1;0;0;
GUISTOLAS;3;60.00;0;0.00;5;5;100.00;3;74.00;Miño-Sil;Orense;PUEBLA TRIEVES;NAVEA;Gravedad;1952;37.00 ;1;0;0;0;1;0;0;0;0;
LA CAMPAÑANA;1;7.14;-7;-50.00;14;11;78.57;9;67.14;Miño-Sil;Leon;CARUCEDO;AYO. BALEN;Gravedad;1963;107.00 ;1;0;1;0;1;0;0;0;0;
LAS CONCHAS;54;67.50;0;0.00;80;70;87.50;57;71.63;Miño-Sil;Orense;LOVIOS Y MUIÑOS;LIMIA;Gravedad;1949;631.00 ;0;0;1;0;1;1;1;1;0;
LAS PORTAS;294;54.85;4;0.75;536;336;62.69;440;82.22;Miño-Sil;Orense;VILARIÑO DE CONSO;CAMBA;Bóveda;1974;1,183.00 ;1;0;0;0;0;1;1;0;1;
LAS ROZAS;13;46.43;-3;-10.71;28;25;89.29;20;74.29;Miño-Sil;Leon;VILLABLINO, PARAMO SIL;SIL;Gravedad;1968;160.00 ;0;0;1;0;1;1;0;0;0;
LOS PEARES;179;98.35;2;1.10;182;178;97.80;176;97.20;Miño-Sil;Lugo;CARBALLEDO, PANTON;MIÑO;Gravedad;1955;535.00 ;0;0;1;0;0;1;1;0;0;
MATALAVILLA;38;58.46;3;4.62;65;46;70.77;42;64.77;Miño-Sil;Leon;PARAMO DEL SIL;VALSECO;Bóveda;1967;188.00 ;0;0;1;0;1;0;0;0;0;
MONTEFURADO;10;100.00;0;0.00;10;8;80.00;9;92.00;Miño-Sil;Lugo;QUIROGA, MONTEFURADO;BIBEY;Gravedad;1954;75.00 ;0;0;1;0;1;0;0;0;0;
PEÑARRUBIA;12;92.31;1;7.69;13;12;92.31;11;90.00;Miño-Sil;Orense;RUBIANA;SIL;Gravedad;1961;137.00 ;0;0;1;0;1;0;0;0;0;
PIAS (SAN AGUSTIN);7;70.00;0;0.00;10;7;70.00;7;71.00;Miño-Sil;Orense;VIANA DO BOLO, PIAS;BIBEY;Materiales sueltos pantalla y homogenea;1961;70.00 ;1;0;0;0;0;0;0;0;0;
PRADA;96;78.69;3;2.46;122;108;88.52;98;80.41;Miño-Sil;Orense;VEIGA, A;JARES;Contrafuertes;1958;605.00 ;0;0;1;0;1;1;1;1;1;
SALAS;37;42.53;0;0.00;87;59;67.82;48;55.63;Miño-Sil;Orense;MUIÑOS;SALAS;Contrafuertes;1971;686.00 ;0;0;1;0;1;0;1;0;1;
SAN ESTEBAN;175;82.16;6;2.82;213;182;85.45;193;90.61;Miño-Sil;Orense;NOGUEIRA  DE RAMUIN;SIL;Arco Gravedad;1955;1,462.00 ;0;0;1;0;1;1;0;0;0;
SAN MARTIN;9;90.00;0;0.00;10;9;90.00;8;89.00;Miño-Sil;Lugo;QUIROGA;SIL;Gravedad;1956;167.00 ;1;0;0;0;0;1;0;0;0;
SAN PEDRO;4;66.67;-1;-16.67;6;5;83.33;5;85.00;Miño-Sil;Orense;NOGUEIRA DE RAMUIN, PANTON;SIL;Gravedad;1959;56.00 ;0;0;1;0;0;0;0;0;0;
SAN SEBASTIAN;24;52.17;1;2.17;46;29;63.04;30;65.87;Miño-Sil;Zamora;PORTO;BIBEY;Contrafuertes;1959;236.00 ;0;0;1;0;0;0;0;0;0;
SANTA EULALIA;8;80.00;0;0.00;10;8;80.00;7;77.00;Miño-Sil;Orense;VEIGA, LA, BOLLO;JARES;Bóveda;1966;41.00 ;0;0;1;0;0;0;0;0;0;
SEQUEIROS;10;90.91;0;0.00;11;10;90.91;10;90.91;Miño-Sil;Lugo;QUIROGA, RIVAS DEL SIL;SIL;Gravedad;1951;115.00 ;0;0;0;0;0;0;0;0;0;
VELLE;12;70.59;-1;-5.88;17;14;82.35;13;79.41;Miño-Sil;Orense;OURENSE;MIÑO;Gravedad;1966;263.00 ;1;0;1;0;1;0;0;1;1;
VILASOUTO;17;80.95;0;0.00;21;18;85.71;15;74.76;Miño-Sil;Lugo;INCIO, O;MAO;Gravedad;1969;112.60 ;1;1;0;0;1;0;1;1;0;
ALMODOVAR;4;66.67;0;0.00;6;5;83.33;4;78.33;Guadalete-Barbate;Cadiz;TARIFA;ALMODOVAR;Gravedad;1972;65.02 ;1;1;0;0;0;0;1;1;0;
ARCOS;13;92.86;0;0.00;14;13;92.86;13;92.86;Guadalete-Barbate;Cadiz;ARCOS DE LA FRONTERA;GUADALETE;Gravedad;1965;280.00 ;0;1;1;0;1;1;1;1;1;
BARBATE;153;67.11;-1;-0.44;228;169;74.12;182;80.00;Guadalete-Barbate;Cadiz;ALCALA DE LOS GAZULES;BARBATE;Materiales sueltos homogenea;1992;2,540.00 ;0;1;0;0;1;1;1;0;0;
BORNOS;118;59.00;-2;-1.00;200;174;87.00;156;78.45;Guadalete-Barbate;Cadiz;BORNOS;GUADALETE;Gravedad;1961;2,341.00 ;0;1;1;0;1;1;0;1;0;
CELEMIN;29;64.44;-1;-2.22;45;43;95.56;37;84.00;Guadalete-Barbate;Cadiz;MEDINA-SIDONIA;CELEMIN;Materiales sueltos homogenea;1972;473.00 ;0;1;0;0;1;1;1;0;0;
GUADALCACIN;482;60.25;-3;-0.38;800;490;61.25;584;73.10;Guadalete-Barbate;Cadiz;JEREZ DE LA FRONTERA;MAJACEITE;Materiales sueltos núcleo arcilla;1995;3,670.00 ;1;1;0;1;1;0;0;0;0;
LOS HURONES;92;68.15;-2;-1.48;135;129;95.56;112;83.41;Guadalete-Barbate;Cadiz;ALGAR/JEREZ DE LA FRONTERA;MAJACEITE;Gravedad;1964;900.00 ;1;1;1;1;1;0;0;0;1;
ZAHARA - EL GASTOR;175;78.48;0;0.00;223;171;76.68;194;87.35;Guadalete-Barbate;Cadiz;ZAHARA;GUADALETE;Materiales sueltos núcleo arcilla;1992;723.00 ;0;1;0;0;1;0;1;1;1;
BENINAR;13;20.63;-1;-1.59;63;11;17.46;13;21.59;Med. Andaluza;Almeria;BENINAR;GRANDE - ADRA;Materiales sueltos núcleo arcilla;1983;243.00 ;1;1;0;0;1;0;0;0;0;
BEZNAR;47;88.68;0;0.00;53;34;64.15;41;78.11;Med. Andaluza;Granada;PINAR, EL;IZBOR;Bóveda;1986;170.00 ;1;1;1;0;0;1;1;1;0;
CASASOLA;12;54.55;0;0.00;22;15;68.18;13;60.00;Med. Andaluza;Malaga;ALMOGIA;CAMPANILLAS;Gravedad;1999;112.00 ;1;1;0;0;1;0;0;1;0;
CHARCO REDONDO;57;69.51;0;0.00;82;58;70.73;62;76.10;Med. Andaluza;Cadiz;BARRIOS, LOS;PALMONES;Materiales sueltos homogenea;1983;637.00 ;1;1;0;1;1;0;0;1;0;
CONDE GUADALHORCE;59;89.39;0;0.00;66;50;75.76;54;81.82;Med. Andaluza;Malaga;ARDALES;ARDALES;Gravedad;1921;546.00 ;1;0;1;0;1;1;1;1;0;
CUEVAS DE ALMANZORA;15;9.32;0;0.00;161;10;6.21;15;9.75;Med. Andaluza;Almeria;CUEVAS DEL ALMANZORA;ALMANZORA;Materiales sueltos núcleo arcilla;1986;526.00 ;1;1;0;0;1;0;0;0;0;
EL LIMONERO;13;59.09;0;0.00;22;15;68.18;12;58.64;Med. Andaluza;Malaga;MALAGA;GUADALMEDINA;Gravedad;1983;105.00 ;1;1;0;0;1;1;0;1;0;
GUADALHORCE-GUADALTEBA;263;94.27;-1;-0.36;279;177;63.44;220;79.03;Med. Andaluza;Malaga;CAMPILLOS;GUADALHORCE;Bóveda;1973;780.00 ;1;1;1;0;0;1;0;1;1;
GUADARRANQUE;67;76.14;-1;-1.14;88;87;98.86;76;86.48;Med. Andaluza;Cadiz;BARRIOS, LOS, CASTELLAR;GUADARRANQUE;Materiales sueltos homogenea;1965;435.00 ;1;1;1;1;1;1;0;0;0;
LA CONCEPCION;51;82.26;-1;-1.61;62;61;98.39;54;87.58;Med. Andaluza;Malaga;MARBELLA;VERDE;Gravedad;1971;214.00 ;1;0;0;0;1;0;1;0;0;
LA VIÑUELA;75;45.45;0;0.00;165;67;40.61;112;67.88;Med. Andaluza;Malaga;VIÑUELA;GUARO;Materiales sueltos núcleo arcilla;1986;565.00 ;1;1;0;0;1;1;1;1;1;
RULES;101;90.99;0;0.00;111;72;64.86;76;68.92;Med. Andaluza;Granada;VELEZ DE BENAUDALLA, SALOBREÑA;GUADALFEO;Gravedad;2003;309.00 ;1;1;1;0;1;0;0;0;0;
ALFONSO XIII;5;22.73;0;0.00;22;6;27.27;7;31.82;Segura;Murcia;CALASPARRA;QUIPAR;Gravedad;1915;216.00 ;0;1;0;1;1;1;0;0;0;
ALGECIRAS;7;15.56;0;0.00;45;5;11.11;20;46.00;Segura;Murcia;ALHAMA MURCIA;ALGECIRAS;Materiales sueltos homogenea;1995;235.50 ;0;1;0;0;1;0;0;1;0;
ANCHURICAS;6;100.00;0;0.00;6;6;100.00;5;88.33;Segura;Jaen;SANTIAGO DE ESPADA;SEGURA;Contrafuertes;1957;57.00 ;0;0;1;0;0;0;0;0;0;
ARGOS;7;70.00;0;0.00;10;8;80.00;7;79.00;Segura;Murcia;CEHEGIN;ARGOS;Materiales sueltos pantalla y homogenea;1970;132.00 ;0;1;0;0;1;1;0;0;0;
CAMARILLAS;19;52.78;1;2.78;36;17;47.22;21;58.33;Segura;Albacete;HELLIN;MUNDO;Gravedad;1961;320.00 ;0;0;0;0;1;0;0;0;0;
CREVILLENTE;3;23.08;0;0.00;13;3;23.08;4;36.92;Segura;Alicante;CREVILLENTE;BCO. DEL BOSCH;Materiales sueltos núcleo arcilla;1985;108.00 ;1;1;0;0;1;1;0;0;0;
EL CENAJO;146;33.41;3;0.69;437;86;19.68;267;61.30;Segura;Albacete;HELLIN, MORATALLA;SEGURA;Gravedad;1960;1,732.00 ;0;1;1;0;1;0;0;1;0;
EL TALAVE;18;51.43;-1;-2.86;35;18;51.43;21;61.43;Segura;Albacete;LIETOR;MUNDO;Gravedad;1918;270.00 ;1;1;0;0;1;1;1;0;0;
FUENSANTA;34;16.19;-1;-0.48;210;68;32.38;114;54.57;Segura;Albacete;YESTE;SEGURA;Gravedad;1933;781.00 ;0;1;1;0;1;1;0;1;0;
LA CIERVA;5;71.43;1;14.29;7;4;57.14;3;47.14;Segura;Murcia;MULA;MULA;Gravedad;1929;58.00 ;1;1;1;0;1;1;0;0;0;
LA PEDRERA;70;28.46;-2;-0.81;246;62;25.20;126;51.50;Segura;Alicante;ORIHUELA;ALCORIZA;Materiales sueltos homogenea;1980;1,272.00 ;1;1;0;0;0;0;1;1;0;
PUENTES;5;19.23;0;0.00;26;2;7.69;7;26.92;Segura;Murcia;LORCA;GUADALENTIN/SANGONERA;Gravedad;2000;273.00 ;0;1;0;0;1;1;0;1;0;
SANTOMERA;2;7.69;0;0.00;26;2;7.69;2;8.08;Segura;Murcia;MURCIA/SANTOMERA;SALADA;Gravedad;1965;723.00 ;0;0;0;0;1;1;0;1;0;
TAIBILLA;5;55.56;0;0.00;9;5;55.56;6;66.67;Segura;Albacete;NERPIO;TAIBILLA;Materiales sueltos núcleo arcilla;1973;82.53 ;1;0;0;0;1;0;0;1;0;
VALDEINFIERNO;0;0.00;0;0.00;12;0;0.00;1;8.33;Segura;Murcia;LORCA;LUCHENA;Gravedad;1806;199.00 ;0;1;0;0;0;0;0;0;0;
BARRIE DE LA MAZA;8;25.81;-1;-3.23;31;23;74.19;18;59.03;Galicia Costa;La Coruña;Negreira y Brión;TAMBRE;Gravedad;1958;270.00 ;0;0;1;0;1;1;0;0;0;
CECEBRE;13;59.09;0;0.00;22;14;63.64;14;64.55;Galicia Costa;La Coruña;BETANZOS;MERO;Gravedad;1976;363.00 ;1;0;0;0;1;0;0;0;1;
EIRAS;22;100.00;0;0.00;22;22;100.00;21;97.73;Galicia Costa;Pontevedra;FORNELOS DE MONTES;OITAVEN;Bóveda;1977;149.00 ;1;1;0;1;1;1;0;0;0;
EUME;99;80.49;-2;-1.63;123;123;100.00;108;88.29;Galicia Costa;La Coruña;CAPELA, A, MONFERO;EUME;Bóveda;1960;425.00 ;0;0;1;0;0;0;0;0;0;
FERVENZA;53;51.46;0;0.00;103;83;80.58;77;75.34;Galicia Costa;La Coruña;Dumbría, Vimianzo, Zas y Mazaricos;Xallas;Gravedad;1966;1,250.00 ;0;0;1;0;0;0;0;1;0;
FORCADAS;8;72.73;0;0.00;11;9;81.82;8;80.00;Galicia Costa;La Coruña;Valdoviño;FORCADAS;Gravedad;1967;151.00 ;1;0;0;1;1;1;1;0;0;
LA RIBEIRA;28;84.85;0;0.00;33;30;90.91;28;85.76;Galicia Costa;La Coruña;As Pontes de García Rodríguez;EUME;Gravedad;1961;161.73 ;0;0;1;0;1;1;1;0;0;
PORTODEMOUROS;234;78.79;1;0.34;297;278;93.60;224;75.52;Galicia Costa;Pontevedra;ARZUA Y VIL ADE CRUCES;ULLA;Materiales sueltos núcleo arcilla;1967;1,204.98 ;0;0;1;0;1;1;1;1;0;
RIOCOBO;4;66.67;0;0.00;6;4;66.67;4;66.67;Galicia Costa;Lugo;CERVO;COBO;;1979;0.00 ;0;0;0;1;0;0;0;0;0;
SANTA EUGENIA;10;55.56;0;0.00;18;14;77.78;15;87.78;Galicia Costa;La Coruña;Dumbria y Mazaricos;JALLAS;Hormigón Compactado;1988;68.00 ;0;0;1;1;1;0;0;0;0;
VILLAGUDIN;16;88.89;1;5.56;18;16;88.89;14;79.44;Galicia Costa;La Coruña;ORDES;VEDUINO;;0;0.00 ;0;0;0;0;1;1;0;0;0;
BOADELLA;52;85.25;-2;-3.28;61;25;40.98;44;73.61;Cataluña Interna;Girona;DARNIUS;MUGA;Gravedad;1969;363.30 ;1;1;1;1;1;0;1;1;1;
LA BAELLS;99;90.83;-1;-0.92;109;90;82.57;93;85.78;Cataluña Interna;Barcelona;BERGA;LLOBREGAT;Bóveda;1976;364.72 ;1;1;1;0;0;1;1;1;0;
LA LLOSA DEL CAVALL;78;97.50;-1;-1.25;80;44;55.00;63;79.13;Cataluña Interna;Lleida;NAVES;CARDENER;Bóveda;1998;4,934.41 ;1;0;0;0;1;0;1;1;1;
RIUDECANYES;5;100.00;0;0.00;5;1;20.00;3;68.00;Cataluña Interna;Tarragona;Duesaigües, Riudecanyes;RIUDECANYES;Gravedad;1918;40.00 ;1;1;0;0;1;0;1;1;0;
SANT PONS;23;95.83;0;0.00;24;24;100.00;22;92.92;Cataluña Interna;Lleida;Clariana Cardener;CARDENER;Gravedad;1957;144.47 ;1;1;1;0;1;1;1;0;0;
SAU;120;72.73;-2;-1.21;165;116;70.30;124;75.27;Cataluña Interna;Barcelona;Vilanova Sau;TER;Gravedad;1963;572.80 ;1;0;1;0;0;0;0;1;0;
SUSQUEDA;196;84.12;-3;-1.29;233;112;48.07;186;80.13;Cataluña Interna;Girona;Susqueda;TER;Bóveda;1967;463.00 ;1;1;1;0;0;1;1;1;1;
ALFILORIOS;8;100.00;0;0.00;8;8;100.00;7;95.00;Cantabrico Occidental;Asturias;RIBERA DE ARRIBA;BARREA;Materiales sueltos núcleo arcilla;1990;52.00 ;1;1;0;0;0;0;0;0;0;
ALSA-MEDIAJO;21;95.45;1;4.55;22;21;95.45;21;95.91;Cantabrico Occidental;Cantabria;SAN MIGUEL DE AGUAYO;TORINA;Gravedad;1921;183.47 ;0;0;1;0;0;0;0;0;0;
ARBON;37;90.24;0;0.00;41;38;92.68;35;86.10;Cantabrico Occidental;Asturias;COAÑA, VILLAYON;NAVIA;Materiales sueltos núcleo arcilla;1967;270.00 ;0;0;1;0;1;1;1;0;0;
DOIRAS;87;89.69;-2;-2.06;97;90;92.78;100;103.20;Cantabrico Occidental;Asturias;BOAL;NAVIA;Gravedad;1934;347.00 ;0;0;1;0;0;0;0;0;0;
LA BARCA;24;70.59;2;5.88;34;23;67.65;24;71.47;Cantabrico Occidental;Asturias;TINEO Y BELMONTE;NARCEA;Bóveda;1966;194.00 ;1;0;1;0;1;1;1;0;0;
LA COHILLA;6;50.00;0;0.00;12;11;91.67;9;75.83;Cantabrico Occidental;Cantabria;TUDANCA;NANSA;Bóveda;1950;450.00 ;0;0;1;0;1;0;0;0;0;
RIOSECO;3;75.00;0;0.00;4;3;75.00;0;7.50;Cantabrico Occidental;Asturias;SOBRESCOBIO;NALON;Gravedad;1978;55.00 ;0;0;1;0;1;0;0;0;0;
SALIME;201;75.56;3;1.13;266;255;95.86;225;84.92;Cantabrico Occidental;Asturias;GRANDAS DE SALIME;NAVIA;Gravedad;1956;685.00 ;0;0;1;0;0;1;1;0;0;
TANES;29;85.29;-1;-2.94;34;29;85.29;32;95.00;Cantabrico Occidental;Asturias;CASO, SOBRESCOBIO;NALON;Gravedad;1978;63.00 ;1;1;1;0;1;0;0;0;0;
CORUMBEL BAJO;11;57.89;0;0.00;19;18;94.74;16;87.37;Tinto, Odiel y Piedras;Huelva;PALMA DEL CONDADO, LA;CORUMBEL;Materiales sueltos P hormigón;1987;396.00 ;1;0;0;0;0;0;0;0;0;
EL SANCHO;48;82.76;0;0.00;58;48;82.76;48;82.76;Tinto, Odiel y Piedras;Huelva;GIBRALEON;MECA;Gravedad;1962;427.00 ;0;0;0;1;1;0;0;0;0;
JARRAMA;35;81.40;-1;-2.33;43;43;100.00;41;96.05;Tinto, Odiel y Piedras;Huelva;NERVA, MADROÑO;JARRAMA;Materiales sueltos núcleo arcilla;1999;342.00 ;1;1;0;0;1;1;1;0;0;
LOS MACHOS;11;91.67;0;0.00;12;12;100.00;9;80.83;Tinto, Odiel y Piedras;Huelva;LEPE, CARTAYA;PIEDRAS;Materiales sueltos P hormigón;1987;182.00 ;0;1;0;0;1;1;0;0;0;
ODIEL;7;87.50;0;0.00;8;7;87.50;7;87.50;Tinto, Odiel y Piedras;Huelva;ARACENA;ODIEL;Materiales sueltos P Lámina;1970;78.00 ;0;0;0;0;0;1;0;0;0;
OLIVARGAS;29;100.00;0;0.00;29;29;100.00;29;100.00;Tinto, Odiel y Piedras;Huelva;ALMONASTER LA REAL;OLIVARGAS;Gravedad;1982;240.00 ;0;0;0;0;0;0;0;0;0;
PIEDRAS;40;66.67;-1;-1.67;60;58;96.67;47;79.50;Tinto, Odiel y Piedras;Huelva;CARTAYA, LEPE;PIEDRAS;Materiales sueltos P hormigón;1968;796.00 ;1;1;0;1;1;0;0;0;0;
AÑARBE;28;73.68;-1;-2.63;38;33;86.84;33;88.95;Cantabrico Oriental;Navarra;ARANO;AÑARBE;Gravedad;1976;201.00 ;1;0;1;0;0;0;0;0;0;
IBIUR;7;87.50;0;0.00;8;8;100.00;6;75.00;Cantabrico Oriental;Guipuzcoa;IKAZTEGIETA,BALIARRAIN,ORENDAIN Y ABALTZISKETA;IBIUR;Gravedad;2008;37.00 ;1;0;0;0;0;0;0;0;0;
ORDUNTE;21;95.45;0;0.00;22;22;100.00;21;99.09;Cantabrico Oriental;Burgos;VALLE DE MENA;ORDUNTE;Gravedad;1934;139.00 ;1;0;1;0;1;0;0;1;1;
SAN ANTON;5;100.00;0;0.00;5;5;100.00;5;100.00;Cantabrico Oriental;Navarra;LESAKA;ENDARA;Materiales sueltos P hormigón;1988;16.00 ;1;0;1;0;0;0;0;0;1;
IBAI-EDER;10;90.91;0;0.00;11;10;90.91;10;94.55;Pais Vasco Interna;Guipuzcoa;Azpeitia;IBAI-EDER;Hormigón Compactado;1991;50.00 ;1;0;1;0;0;0;0;0;1;
URKULU;9;90.00;0;0.00;10;10;100.00;9;93.00;Pais Vasco Interna;Guipuzcoa;Arretxabaleta;URKULU;Materiales sueltos P hormigón;1980;80.00 ;1;0;0;0;0;0;0;0;0;
