Embalse;Agua embalsada (01-04-2019) (HM3);Porcentaje Agua embalsada (01-04-2019) ;Variacion semana Anterior (HM3);Porcentaje Variacion semana Anterior ;Capacidad (HM3);Agua embalsada Misma Semana (2018) (HM3);Porcentaje Agua embalsada Misma Semana (2018) ;Agua embalsada Misma Semana (Med. 10 Años) (HM3);Porcentaje Agua embalsada Misma Semana (Med. 10 Años) ;Cuenca;Provincia;Municipio Presa;Rio;Tipo de Presa;Año de construccion (Final);Superficie;Abastecimiento;Riego;Electricidad;Industrial;Pesca;Navegación;Baño;Pic-nic;Restaurantes;
MOLINO DE CHINCHA;6;100.00;0;0.00;6;6;100.00;5;98.33;Tajo;Cuenca;CARRASCOSA DE LA SIERRA Y CAÑIZARES;GUADIELA;Bóveda;1947;60.00 ;0;0;1;0;1;0;0;0;0;
NAVACERRADA;6;54.55;0;0.00;11;9;81.82;8;80.00;Tajo;Madrid;NAVACERRADA;NAVACERRADA-SAMBURIEL;Gravedad;1968;93.00 ;1;1;0;0;1;0;0;0;0;
NAVALCAN;27;79.41;0;0.00;34;29;85.29;27;80.00;Tajo;Toledo;NAVALCAN;GUADYERBAS;Gravedad;1977;746.00 ;1;1;0;0;1;0;0;1;0;
NAVAMUÑO;9;64.29;0;0.00;14;11;78.57;11;80.71;Tajo;Salamanca;CANDELARIO;ANGOSTURA;Materiales sueltos P hormigón;1989;67.00 ;1;0;1;0;0;0;0;0;0;
PALMACES;20;64.52;0;0.00;31;20;64.52;19;62.26;Tajo;Guadalajara;PALMACES DE JADRAQUE;CAÑAMARES;Gravedad;1954;262.96 ;0;1;0;0;1;1;0;0;0;
PEDREZUELA;27;65.85;-1;-2.44;41;36;87.80;34;83.17;Tajo;Madrid;PEDREZUELA;GUADALIX;Bóveda;1967;393.00 ;1;1;0;0;1;1;0;0;1;
PICADAS;14;93.33;0;0.00;15;14;93.33;14;98.00;Tajo;Madrid;SAN MARTIN DE VALDEIGLESIAS;ALBERCHE;Gravedad;1952;92.00 ;1;1;1;0;1;1;0;0;0;
PINILLA;28;73.68;0;0.00;38;30;78.95;32;84.21;Tajo;Madrid;PINILLA DEL VALLE;LOZOYA;Gravedad;1967;480.00 ;0;0;1;0;1;1;0;0;1;
PORTAJE;13;56.52;0;0.00;23;15;65.22;16;72.61;Tajo;Caceres;PORTAJE, TORREJONCILLO;FRESNEDOSA;Gravedad;1986;430.00 ;1;0;1;0;1;0;0;1;1;
PUENTES VIEJAS;42;79.25;0;0.00;53;41;77.36;44;83.40;Tajo;Madrid;PUENTES VIEJAS / PAREDES DE BUITRAGO;LOZOYA;Arco Gravedad;1940;280.00 ;0;0;0;0;1;1;1;0;1;
