Embalse;Agua embalsada (01-04-2019) (HM3);Porcentaje Agua embalsada (01-04-2019) ;Variacion semana Anterior (HM3);Porcentaje Variacion semana Anterior ;Capacidad (HM3);Agua embalsada Misma Semana (2018) (HM3);Porcentaje Agua embalsada Misma Semana (2018) ;Agua embalsada Misma Semana (Med. 10 Años) (HM3);Porcentaje Agua embalsada Misma Semana (Med. 10 Años) ;Cuenca;Provincia;Municipio Presa;Rio;Tipo de Presa;Año de construccion (Final);Superficie;Abastecimiento;Riego;Electricidad;Industrial;Pesca;Navegación;Baño;Pic-nic;Restaurantes
BARASONA;57;67,06;-3;-3,53;85;66;77,65;70;82,59;Ebro;Huesca;GRAUS, PUEBLA CASTRO;ESERA;Gravedad;1932;664,27;1;1;1;0;1;1;1;1;1
BASERCA;7;31,82;0;0;22;2;9,09;5;22,73;Ebro;Huesca;MONTANUY, VILALLER;NOGUERA RIBAGORZANA;Bóveda;1983;93;0;0;0;0;1;0;0;0;0
BUBAL;24;38,1;0;0;63;42;66,67;41;66,51;Ebro;Huesca;HOZ DE JACA, BIESCAS;GALLEGO;Gravedad;1971;312;0;0;1;0;1;0;0;0;0
CALANDA;46;85,19;-1;-1,85;54;16;29,63;38;71,67;Ebro;Teruel;CALOMARDE/CALANDA;GUADALOPE;Materiales sueltos núcleo arcilla;1982;312;1;1;1;1;1;0;1;1;0
CAMARASA;107;65,64;0;0;163;160;98,16;87;53,93;Ebro;Lleida;CAMARASA;NOGUERA PALLARESA;Gravedad;1920;624;0;1;1;0;1;1;1;0;0
CANELLES;624;91,9;-10;-1,47;679;367;54,05;383;56,48;Ebro;Huesca;ESTOPIÑAN DEL CASTILLO, OS DE BALAGUER;NOGUERA RIBAGORZANA;Bóveda;1960;1.569,00;0;1;1;0;1;1;1;1;1
CASPE II;76;92,68;0;0;82;24;29,27;38;47,2;Ebro;Zaragoza;CASPE, ALCAÑIZ y MAELLA;GUADALOPE;Materiales sueltos núcleo arcilla;1989;614;1;1;0;0;1;0;1;0;0
CAVALLERS;2;12,5;0;0;16;4;25;4;28,13;Ebro;Lleida;BARRUERA;NOGUERA DE TORT;Contrafuertes;1960;47;0;0;1;0;1;0;0;0;0
CERTASCAN;9;56,25;0;0;16;8;50;10;65;Ebro;Lleida;LLADORRE;NOGUERA DE CARDOS;Gravedad;1944;61;0;0;1;0;0;0;0;0;0
CIURANA;6;50;0;0;12;2;16,67;9;79,17;Ebro;Tarragona;CORNUDELLA DE MONTSANT;CIURANA;Gravedad;1972;85;1;1;0;0;1;1;1;1;1
CUEVA FORADADA;22;100;0;0;22;8;36,36;14;63,64;Ebro;Teruel;OLIETE;MARTIN;Gravedad;1926;190;1;1;0;0;1;1;0;1;0
EBRO;496;91,68;1;0,18;541;386;71,35;447;82,79;Ebro;Cantabria;LAS ROZAS DE VALDEARROYO;EBRO;Gravedad;1945;6.253,00;1;1;1;0;1;0;1;1;0
